cat_title,title,url
Стол обеденный,ведбу стол обеденный,https://www.ikea.com/ru/ru/p/vedbu-stol-obedennyy-belyy-70417458/
Стол обеденный,скогста стол обеденный,https://www.ikea.com/ru/ru/p/skogsta-stol-obedennyy-akaciya-20419266/
Стол обеденный,оврарюд стол,https://www.ikea.com/ru/ru/p/ovraryud-stol-bambuk-vestano-temno-korichnevyy-s89227161/
Стол обеденный,вэстанби стол,https://www.ikea.com/ru/ru/p/vestanbi-stol-temno-korichnevyy-vestano-temno-korichnevyy-s69227181/
Стол обеденный,рюдебэкк стол,https://www.ikea.com/ru/ru/p/ryudebekk-stol-belyy-vestano-temno-korichnevyy-s09227160/
Стул с мягким сиденьем,хенриксдаль стул,https://www.ikea.com/ru/ru/p/henriksdal-stul-temno-korichnevyy-glose-chernyy-20380952/
Стул с мягким сиденьем,норнэс стул,https://www.ikea.com/ru/ru/p/nornes-stul-belyy-gunnared-isunda-klassicheskiy-seryy-seryy-40466657/
Стул с мягким сиденьем,карл-ян стул,https://www.ikea.com/ru/ru/p/karl-yan-stul-temno-seryy-kabusa-temno-seryy-40357818/
Стул с мягким сиденьем,вольфганг стул,https://www.ikea.com/ru/ru/p/volfgang-stul-hromirovannyy-gunnared-klassicheskiy-seryy-10404661/
Стул с мягким сиденьем,бёрье стул,https://www.ikea.com/ru/ru/p/byore-stul-korichnevo-chyornyy-gunnared-klassicheskiy-seryy-90478441/
Стул с мягким сиденьем,бёрье стул,https://www.ikea.com/ru/ru/p/byore-stul-belyy-gunnared-klassicheskiy-seryy-10478440/
