cat_title,title,url
Говядина (кроме бескостного мяса),"говядина мираторг рагу с/м пакет россия, 1000 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-glubokojj-zamorozki/subprodukty/govyadina-miratorg-ragu-sm-paket-rossiya-1000g/
Говядина (кроме бескостного мяса),"говядина самсон стейк из тазобедр. кат.а за охл россия, 400 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-svininy/govyadina-samson-stejjk-iz-tazobedr-kata-za-ohl-rossiya-400g/
Говядина (кроме бескостного мяса),"говядина мираторг стейк из окорока охл россия, 470 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-stejjk-iz-okoroka-ohl-rossiya-470g/
Говядина (кроме бескостного мяса),"говядина мираторг стейк рибай блэк ангус рвк охл россия, 320 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-stejjk-ribajj-blek-angus-rvk-ohl-rossiya-320g/
Говядина (кроме бескостного мяса),"говядина мд бородина с/к в/у россия, 95 г",https://lenta.com/catalog/myaso-ptica-kolbasa/produkty-myasnojj-pererabotki/delikatesy/govyadina-md-borodina-sk-vu-rossiya-95g/
Говядина (кроме бескостного мяса),"говядина мираторг шницель рвк россия, 430 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-shnicel-rvk-rossiya-430g/
Говядина (кроме бескостного мяса),"говядина лента к/в кат.а в/у россия, 400 г",https://lenta.com/catalog/myaso-ptica-kolbasa/kolbasnye-izdeliya/delikatesy-kopchjnye/govyadina-lenta-kv-kata-vu-rossiya-400g/
Говядина (кроме бескостного мяса),"говядина мираторг стейк стриплойн блэк ангус рвк охл россия, 320 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-stejjk-striplojjn-blek-angus-rvk-ohl-rossiya-320g/
Говядина (кроме бескостного мяса),говядина мираторг блэк ангус наб д/холод с/м вес россия,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-glubokojj-zamorozki/subprodukty/govyadina-miratorg-blek-angus-nab-dholod-sm-ves-rossiya-1kg/
Говядина (кроме бескостного мяса),"говядина мд бородина слободская к/в в/у россия, 300 г",https://lenta.com/catalog/myaso-ptica-kolbasa/kolbasnye-izdeliya/delikatesy-kopchjnye/govyadina-md-borodina-slobodskaya-kv-vu-rossiya-300g/
Говядина (кроме бескостного мяса),"говядина karolina в/к в/у россия, 400 г",https://lenta.com/catalog/myaso-ptica-kolbasa/kolbasnye-izdeliya/delikatesy-kopchjnye/govyadina-karolina-vk-vu-rossiya-400g/
Говядина (кроме бескостного мяса),"маринад kamis говядина на углях франция, 20 г",https://lenta.com/catalog/bakaleya/pripravy-specii/marinady/marinad-kamis-govyadina-na-uglyah-franciya-20g/
