cat_title,title,url
Говядина (кроме бескостного мяса),говядина вырезка п/ф охлажденный кг,https://www.okeydostavka.ru/spb/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-vyrezka-p-f-okhlazhdennyi-kg
Говядина (кроме бескостного мяса),говядина антрекот поясничная часть п/ф охлажденный кг,https://www.okeydostavka.ru/spb/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-antrekot-poiasnichnaia-chast-p-f-okhlazhdennyi-
Говядина (кроме бескостного мяса),говядина чак ролл охлажденный black angus мираторг 570г,https://www.okeydostavka.ru/spb/%D0%BC%D1%8F%D1%81%D0%BD%D0%B0%D1%8F-%D0%B3%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F--%D0%BC%D1%8F%D1%81%D0%BE-%D0%B8-%D0%BF%D1%82%D0%B8%D1%86%D0%B0--1/meat-and-poultry-/goviadina-chak-roll-okhlazhdennyi-black-angus-miratorg-570g-828088-parent-1
Говядина (кроме бескостного мяса),говядина мраморная стейк топ блейд black angus мираторг 460г,https://www.okeydostavka.ru/spb/%D0%BC%D1%8F%D1%81%D0%BD%D0%B0%D1%8F-%D0%B3%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F--%D0%BC%D1%8F%D1%81%D0%BE-%D0%B8-%D0%BF%D1%82%D0%B8%D1%86%D0%B0--1/meat-and-poultry-/goviadina-mramornaia-steik-top-bleid-black-angus-460g-849803-parent-1
Говядина (кроме бескостного мяса),говядина для вторых блюд охлажденная самсон 400г,https://www.okeydostavka.ru/spb/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-dlia-vtorykh-bliud-okhlazhdennaia-samson-400g
Говядина (кроме бескостного мяса),говядина пряная окей 400г в/у,https://www.okeydostavka.ru/spb/wiener-sausages/goviadina-prianaia-okei-400g-v-u-849263-parent-1
Говядина (кроме бескостного мяса),говядина к/в особая ладоград . кг,https://www.okeydostavka.ru/spb/miaso-ptitsa-kolbasy-16551-20/miasnye-delikatesy-16554-20/goviadina-k-v-osobaia-ladograd-kg
Говядина (кроме бескостного мяса),говядина к/в невская трапеза мускатная в/у,https://www.okeydostavka.ru/spb/miaso-ptitsa-kolbasy-16551-20/miasnye-delikatesy-16554-20/goviadina-k-v-nevskaia-trapeza-muskatnaia-v-u
Говядина (кроме бескостного мяса),говядина к/в европейская мл/к 300г в/у останкино,https://www.okeydostavka.ru/spb/wiener-sausages/goviadina-k-v-evropeiskaia-ml-k-300g-v-u-813855-parent-1
Говядина (кроме бескостного мяса),стейк из говядины охлажденный самсон 400г,https://www.okeydostavka.ru/spb/miaso-ptitsa-kolbasy-16551-20/polufabrikaty-iz-miasa-i-ptitsy-69553-20/steik-iz-goviadiny-okhlazhdennyi-samson-400g
Говядина (кроме бескостного мяса),паштет из говядины фрутоняня с печенью с 18мес 80г,https://www.okeydostavka.ru/spb/%D0%B4%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D0%B5-%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B-%D0%B8-%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%BA%D0%B8--1/baby-and-toddler-food/fruit-pouches/%D0%BF%D0%B0%D1%88%D1%82%D0%B5%D1%82-%D0%B8%D0%B7-%D0%B3%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D1%8B-%D1%84%D1%80%D1%83%D1%82%D0%BE%D0%BD%D1%8F%D0%BD%D1%8F-%D1%81-%D0%BF%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%D1%8E-%D1%81-18%D0%BC%D0%B5%D1%81-80%D0%B3-862286-parent--1
Говядина (кроме бескостного мяса),бифштекс из говядины диетический охлажденный самсон 180г,https://www.okeydostavka.ru/spb/%D0%BC%D1%8F%D1%81%D0%BD%D0%B0%D1%8F-%D0%B3%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F--%D0%BC%D1%8F%D1%81%D0%BE-%D0%B8-%D0%BF%D1%82%D0%B8%D1%86%D0%B0--1/meat-and-poultry-/bifshteks-iz-goviadiny-dieticheskii-samson-180g-746874-parent-1
Говядина (кроме бескостного мяса),стейк из мраморной говядины канзас охлажденный мираторг 390г,https://www.okeydostavka.ru/spb/%D0%BC%D1%8F%D1%81%D0%BD%D0%B0%D1%8F-%D0%B3%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F--%D0%BC%D1%8F%D1%81%D0%BE-%D0%B8-%D0%BF%D1%82%D0%B8%D1%86%D0%B0--1/meat-and-poultry-/%D1%81%D1%82%D0%B5%D0%B9%D0%BA-%D0%B8%D0%B7-%D0%BC%D1%80%D0%B0%D0%BC%D0%BE%D1%80%D0%BD%D0%BE%D0%B9%C2%A0%D0%B3%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D1%8B-%D0%BA%D0%B0%D0%BD%D0%B7%D0%B0%D1%81-%D0%BE%D1%85%D0%BB%D0%B0%D0%B6%D0%B4%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-390%D0%B3--857000-parent--1
Говядина (кроме бескостного мяса),бифштекс из говядины охлажденный фермерский бычок мираторг 290г,https://www.okeydostavka.ru/spb/%D0%BC%D1%8F%D1%81%D0%BD%D0%B0%D1%8F-%D0%B3%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F--%D0%BC%D1%8F%D1%81%D0%BE-%D0%B8-%D0%BF%D1%82%D0%B8%D1%86%D0%B0--1/meat-and-poultry-/%D0%B1%D0%B8%D1%84%D1%88%D1%82%D0%B5%D0%BA%D1%81-%D0%B8%D0%B7-%D0%B3%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D1%8B-%D0%BE%D1%85%D0%BB%D0%B0%D0%B6%D0%B4%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D1%84%D0%B5%D1%80%D0%BC%D0%B5%D1%80%D1%81%D0%BA%D0%B8%D0%B9-%D0%B1%D1%8B%D1%87%D0%BE%D0%BA--857003-parent--1
Говядина (кроме бескостного мяса),стейк из мраморной говядины брискет в маринаде мираторг 450г,https://www.okeydostavka.ru/spb/%D0%BC%D1%8F%D1%81%D0%BD%D0%B0%D1%8F-%D0%B3%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%8F--%D0%BC%D1%8F%D1%81%D0%BE-%D0%B8-%D0%BF%D1%82%D0%B8%D1%86%D0%B0--1/meat-and-poultry-/%D1%81%D1%82%D0%B5%D0%B9%D0%BA-%D0%B8%D0%B7-%D0%BC%D1%80%D0%B0%D0%BC%D0%BE%D1%80%D0%BD%D0%BE%D0%B9-%D0%B3%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D1%8B-%D0%B1%D1%80%D0%B8%D1%81%D0%BA%D0%B5%D1%82-%D0%B2-%D0%BC%D0%B0%D1%80%D0%B8%D0%BD%D0%B0%D0%B4%D0%B5--857005-parent--1
Говядина (кроме бескостного мяса),лакомство д/кошек dreamies mix говядина/сыр 60г,https://www.okeydostavka.ru/spb/lakomstvo-d-koshek-dreamies-mix-goviadina-syr-60g
