cat_title,title,url
Ацетилсалициловая кислота (Аспирин отечественный),аспирин кардио таб.п/о 300мг №20 bayer ag (безрецепт.),https://spb.rigla.ru/product/182
Ацетилсалициловая кислота (Аспирин отечественный),аспирин комплекс пор.д/приг.р-ра №10 bayer ag (безрецепт.),https://spb.rigla.ru/product/4736
Ацетилсалициловая кислота (Аспирин отечественный),аспирин экспресс таб.шип. 500мг №12 bayer ag (безрецепт.),https://spb.rigla.ru/product/95776
Ацетилсалициловая кислота (Аспирин отечественный),аспирин кардио таб.п/о 100мг №28 bayer ag (безрецепт.),https://spb.rigla.ru/product/42130
Ацетилсалициловая кислота (Аспирин отечественный),аспирин кардио таб.п/о 100мг №56 bayer ag (безрецепт.),https://spb.rigla.ru/product/42167
Ацетилсалициловая кислота (Аспирин отечественный),аспирин c таб.шип. №10 bayer ag (безрецепт.),https://spb.rigla.ru/product/180
Корвалол,корвалол капли 25мл гиппократ ооо,https://spb.rigla.ru/product/45810
Корвалол,"корвалол фито таб. 1,16мг+28мг+16,4мг №20 фармстандарт-лексредства оао",https://spb.rigla.ru/product/107451
Корвалол,корвалол нео капли 50мл фармстандарт-лексредства оао,https://spb.rigla.ru/product/107450
Корвалол,"корвалол фито таб. 1,16мг+28мг+16,4мг №50 фармстандарт-лексредства оао",https://spb.rigla.ru/product/105213
Корвалол,корвалол фито капли 50мл фармстандарт-лексредства оао,https://spb.rigla.ru/product/105212
Корвалол,корвалол таб. №50 фармстандарт-лексредства оао,https://spb.rigla.ru/product/100936
Метамизол натрия (Анальгин отечественный),анальгин таб. 500мг №10 марбиофарм,https://spb.rigla.ru/product/61154
Метамизол натрия (Анальгин отечественный),анальгин таб. 500мг №20 обновление пфк,https://spb.rigla.ru/product/42356
Метамизол натрия (Анальгин отечественный),анальгин амп. 50% 2мл №10 фармстандарт-уфавита уфимский вит.з-д оао,https://spb.rigla.ru/product/105209
Метамизол натрия (Анальгин отечественный),анальгин таб. 500мг №10 фармстандарт-лексредства оао,https://spb.rigla.ru/product/98862
Метамизол натрия (Анальгин отечественный),анальгин таб. 500мг №20 фармстандарт-лексредства оао,https://spb.rigla.ru/product/98863
Метамизол натрия (Анальгин отечественный),анальгин-хинин таб.п/о №20 sopharma ad,https://spb.rigla.ru/product/3892
