,date,type,category_id,category_title,site_title,price_new,price_old,site_unit,site_link,site_code
0,2019-10-02,food,1,Говядина (кроме бескостного мяса),"Говядина, тазобедренная часть, 1 упаковка (700-900 г)",599.9,,за 1 кг,https://online.globus.ru/products/govyadina-tazobedrennaya-chast-1-upakovka-700-900-g/,globus
1,2019-10-02,food,1,Говядина (кроме бескостного мяса),"Говяжьи ребрышки, 1 упаковка (600-800 г)",299.9,,за 1 кг,https://online.globus.ru/products/govyazhi-rebryshki-1-upakovka-600-800-g/,globus
2,2019-10-02,food,1,Говядина (кроме бескостного мяса),"Говяжья грудинка на кости, 1 упаковка (500-700 г)",299.9,,за 1 кг,https://online.globus.ru/products/govyazhya-grudinka-na-kosti-1-upakovka-350-650-g/,globus
3,2019-10-02,food,1,Говядина (кроме бескостного мяса),"Говяжья нога на кости, 1 упаковка (500-700 г)",499.9,,за 1 кг,https://online.globus.ru/products/govyazhya-noga-na-kosti-1-upakovka-500-950-g/,globus
4,2019-10-02,food,1,Говядина (кроме бескостного мяса),Говядина грудинка на кости п/ф охлажденный СП кг,383.9,,кг,https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-grudinka-na-kosti-p-f-okhlazhdennyi-sp-kg,okey
5,2019-10-02,food,1,Говядина (кроме бескостного мяса),Говядина котлетная часть на кости п/ф охлажденный СП кг,587.4,,кг,https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-kotletnaia-chast-na-kosti-p-f-okhlazhdennyi-,okey
6,2019-10-02,food,1,Говядина (кроме бескостного мяса),Говядина лопатка на кости п/ф охлажденный СП кг,526.9,,кг,https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-lopatka-na-kosti-p-f-okhlazhdennyi-sp-kg,okey
7,2019-10-02,food,1,Говядина (кроме бескостного мяса),Говядина подбедерок на кости п/ф охлажденный СП кг,372.9,,кг,https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-podbederok-na-kosti-p-f-okhlazhdennyi-sp-kg,okey
8,2019-10-02,food,1,Говядина (кроме бескостного мяса),Говядина тазобедренная часть на кости п/ф охлажденный СП кг,548.9,,кг,https://www.okeydostavka.ru/msk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20/goviadina-tazobedrennaia-chast-na-kosti-p-f-,okey
9,2019-10-02,food,1,Говядина (кроме бескостного мяса),Ребрышки Мираторг из розовой телятины 0.3-0.7кг,539.0,639.0,кг,https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina/mirat-rebr-dper-bl-iz-tel-1kg--440884,perekrestok
10,2019-10-02,food,1,Говядина (кроме бескостного мяса),Ребрышки Мираторг из розовой телятины 0.3-0.7кг,539.0,639.0,кг,https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina/mirat-rebr-dper-bl-iz-tel-1kg--440884,perekrestok
11,2019-10-02,food,1,Говядина (кроме бескостного мяса),Оссо буко Мираторг из розовой телятины 0.4-0.6кг,529.0,639.0,кг,https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/telyatina/mirat-osso-buko-dtush-iz-tel1kg--440885,perekrestok
12,2019-10-02,food,1,Говядина (кроме бескостного мяса),"Ребрышки говяжьи Эколь Халяль охлажденные, 0,8-1,1кг",454.0,,кг,https://www.utkonos.ru/item/2008193/rebryshki-govjazhi-ekol-khaljal-okhlazhdennye--0-8-1-1kg,utkonos
13,2019-10-02,food,1,Говядина (кроме бескостного мяса),"Грудинка говяжья Эколь Халяль охлажденная, 0,8-1,1кг",524.0,,кг,https://www.utkonos.ru/item/2008196/grudinka-govjazhja-ekol-khaljal-okhlazhdennaja--0-8-1-1kg,utkonos
