id;type;cat_title;site_code;site_link
1;food;Говядина (кроме бескостного мяса);gks;109517
2;food;Свинина (кроме бескостного мяса);gks;109518
3;food;Баранина (кроме бескостного мяса);gks;109397
4;food;Куры охлажденные и мороженые;gks;109396
5;food;Рыба мороженая неразделанная;gks;109534
7;food;Масло сливочное;gks;109418
8;food;Масло подсолнечное;gks;109419
9;food;Маргарин;gks;109543
10;food;Молоко питьевое цельное пастеризованное 2,5-3,2% жирности;gks;109549
11;food;Сметана;gks;109422
13;food;Сыры сычужные твердые и мягкие;gks;109432
14;food;Яйца куриные;gks;109561
15;food;Сахар-песок;gks;109562
16;food;Мука пшеничная;gks;109457
17;food;Хлеб из ржаной муки и из смеси муки ржаной и пшеничной;gks;109459
18;food;Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов;gks;109460
19;food;Рис шлифованный;gks;109463
20;food;Пшено;gks;109464
22;food;Вермишель;gks;109468
23;food;Картофель;gks;109470
24;food;Капуста белокочанная свежая;gks;109471
25;food;Морковь;gks;109595
26;food;Огурцы свежие;gks;109474
27;food;Лук репчатый;gks;109594
28;food;Яблоки;gks;109476
29;food;Печенье;gks;109563
30;food;Карамель;gks;109566
31;food;Чай черный байховый;gks;109451
32;food;Соль поваренная пищевая;gks;109577
